                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5694,                 4.4566,                 1.5508,                0.00336,                0.04196,                 0.0019,                0.00051,                 2.3364,                 4.6461,                 1.4365,                      0,                      0,                      0
                      2,                 2.6406,                 4.5554,                 1.5208,                0.00336,                0.04196,                0.00191,                0.00054,                 2.3446,                 4.6392,                 1.4401,               9.34e-06,               9.34e-06,               9.34e-06
                      3,                 2.5455,                 4.6835,                 1.6603,                0.00383,                0.04551,                0.00218,                0.00055,                 2.3397,                 4.6417,                 1.4346,              1.736e-05,              1.736e-05,              1.736e-05
                      4,                 2.5611,                 4.5157,                 1.4788,                0.00389,                0.04551,                0.00222,                0.00056,                 2.3478,                 4.6413,                 1.4344,              2.406e-05,              2.406e-05,              2.406e-05
                      5,                 2.5107,                 4.4754,                 1.4607,                0.00398,                0.04551,                0.00227,                 0.0007,                  2.337,                 4.6475,                 1.4328,              2.944e-05,              2.944e-05,              2.944e-05
                      6,                 2.5334,                 4.7042,                 1.6636,                  0.004,                0.04551,                0.00228,                0.00071,                 2.3352,                 4.6508,                  1.433,               3.35e-05,               3.35e-05,               3.35e-05
                      7,                 2.5047,                  4.683,                 1.7474,                0.87677,                 0.0461,                0.02346,                0.00876,                 2.1491,                 3.0623,                 1.3882,              3.624e-05,              3.624e-05,              3.624e-05
                      8,                  2.327,                 2.9095,                 1.5825,                0.94797,                0.13285,                0.14992,                0.05269,                 2.1004,                  1.731,                 1.3524,              3.766e-05,              3.766e-05,              3.766e-05
                      9,                 2.1152,                 1.8458,                 1.3208,                0.95252,                0.32559,                0.31229,                0.15961,                 2.0379,                 1.4604,                 1.3209,              3.776e-05,              3.776e-05,              3.776e-05
                     10,                 1.9662,                 1.6145,                 1.3943,                 0.9229,                0.30636,                 0.3186,                0.15566,                 1.9504,                 1.3785,                 1.2837,              3.654e-05,              3.654e-05,              3.654e-05
                     11,                 1.8748,                 1.6447,                 1.2505,                0.92738,                0.30068,                 0.3244,                0.16885,                 1.9054,                 1.3838,                 1.2542,                3.4e-05,                3.4e-05,                3.4e-05
                     12,                 1.8421,                 1.4896,                 1.2377,                0.60507,                0.32146,                0.32693,                 0.1652,                 1.8648,                 1.3475,                 1.2266,              3.014e-05,              3.014e-05,              3.014e-05
                     13,                 1.8425,                 1.3751,                 1.2227,                0.78234,                0.31817,                0.32933,                0.16828,                 1.8639,                 1.3088,                 1.2164,              2.496e-05,              2.496e-05,              2.496e-05
                     14,                  1.823,                 1.3373,                 1.2154,                0.78409,                0.31892,                0.32983,                 0.1834,                 1.8693,                 1.2928,                 1.2087,              1.846e-05,              1.846e-05,              1.846e-05
                     15,                 1.8276,                 1.2712,                 1.2083,                0.77955,                0.32004,                0.32994,                0.18397,                 1.8678,                 1.2721,                 1.2114,              1.064e-05,              1.064e-05,              1.064e-05
